,NtsbNo,EventType,Mkey,EventDate,City,State,Country,ReportNo,N#,SerialNumber,HasSafetyRec,Mode,ReportType,OriginalPublishedDate,DocketOriginalPublishedDate,HighestInjuryLevel,FatalInjuryCount,SeriousInjuryCount,MinorInjuryCount,ProbableCause,Findings,EventID,Latitude,Longitude ,Make,Model,AirCraftCategory,AirportID,AirportName,AmateurBuilt,NumberOfEngines,EngineType,Scheduled,PurposeOfFlight,FAR,AirCraftDamage,WeatherCondition,Operator,BroadPhaseofFlight,ReportStatus,RepGenFlag,MostRecentReportType,DocketUrl,ReportUrl,UTC_YEAR,count,Make_final,UTC_MTH,UTC_DAY,UTC_HOUR,UTC_WEEKDAY
5777,DCA21WA222,INC,103876.0,2021-09-13T01:40:00Z,Katowice,,Poland,,EI-STL,24231,False,Aviation,,,,,,,,,,,,,BOEING,737,AIR,,,false,,,,,NUSC,,,,Enroute,,,Prelim,,,2021,,Boeing,9,13,1,Monday
5816,GAA21WA218,ACC,103813.0,2021-09-04T14:48:00Z,Sandbanks,,United Kingdom,,N707TJ,75-950,False,Aviation,,,,,0.0,0.0,0.0,,,,50.741164,-1.190175,BOEING,A75N1(PT17),AIR,,,false,1,,,UNK,NUSN,Destroyed,Unknown,,Enroute,,,Prelim,,,2021,,Boeing,9,4,14,Saturday
5828,DCA21WA217,INC,103871.0,2021-09-03T04:00:00Z,Darwin,,Australia,,VH-YIS,39926,False,Aviation,,,,,,,,,,,,,BOEING,737,AIR,,,false,,,,,NUSC,,,,Landing,,,Prelim,,,2021,,Boeing,9,3,4,Friday
5838,DCA21LA229,ACC,103969.0,2021-09-01T03:29:00Z,Seattle,Washington,United States,,N196DN,28453,False,Aviation,DirectorBrief,2022-07-21T04:00:00Z,2022-07-21T19:00:00Z,Serious,0.0,1.0,1.0,"The flightcrew’s failure to set the hydraulic panel correctly during the execution of the pushback checklist, and when the hydraulic panel setting was corrected, that resulted in the airplane coming to a sudden stop and a flight attendant receiving a serious injury.","Personnel issues - Task performance - Planning/preparation - (general) - Flight crew, Personnel issues - Action/decision - Action - Forgotten action/omission - Flight crew, Aircraft - Aircraft systems - Hydraulic power system - Hydraulic, main system - Not used/operated",,47.438408,-122.2997,BOEING,767-332,AIR,SEA,SEATTLE-TACOMA INTL,false,2,TJ,SCHD,,121,,VMC,DELTA AIR LINES INC,Standing,Completed,,Final,https://data.ntsb.gov/Docket?ProjectID=103969,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/103969/pdf,2021,,Boeing,9,1,3,Wednesday
5877,DCA21LA208,ACC,103753.0,2021-08-23T20:45:00Z,SeaTac,Washington,United States,,N479AS,60576,False,Aviation,DirectorBrief,2022-07-19T04:00:00Z,,Serious,0.0,1.0,3.0,The passenger’s use of the evacuation slide resulted in the serious injury.,Aircraft - Aircraft oper/perf/capability - (general) - (general) - Related operating info,,47.443719,-122.31173,BOEING,737-990ER,AIR,SEA,SEATTLE-TACOMA INTL,false,2,TF,SCHD,,121,,VMC,ALASKA AIRLINES INC,Taxi,Completed,,Final,,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/103753/pdf,2021,,Boeing,8,23,20,Monday
5884,DCA21LA209,ACC,103756.0,2021-08-21T14:00:00Z,Chicago,Illinois,United States,,N806AW,1056,False,Aviation,DirectorBrief,2022-07-20T04:00:00Z,2022-07-20T19:00:00Z,Serious,0.0,1.0,0.0,An encounter with clear air turbulence.,"Environmental issues - Conditions/weather/phenomena - Turbulence - Clear air turbulence - Awareness of condition, Environmental issues - Conditions/weather/phenomena - Turbulence - Clear air turbulence - Effect on personnel",,41.972201,-87.92056599999998,AIRBUS,319-132,AIR,,,false,,,SCHD,,121,,VMC,American Airlines,Enroute,Completed,,Final,https://data.ntsb.gov/Docket?ProjectID=103756,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/103756/pdf,2021,,Airbus,8,21,14,Saturday
5891,DCA21WA221,INC,103875.0,2021-08-21T04:00:00Z,Marquetia,,Venezuela,,YV562T,,False,Aviation,,,,,,,,,,,,,AIRBUS,A300,AIR,,,false,,,,,NUSC,,,,Enroute,,,Prelim,,,2021,,Airbus,8,21,4,Saturday
5896,DCA21WA215,INC,103869.0,2021-08-20T04:00:00Z,Madrid,,Spain,,EC-MUZ,,False,Aviation,,,,,,,,,,,,,BOEING,737,AIR,,,false,,,,,NUSC,Unknown,,Air Europa,Taxi,,,Prelim,,,2021,,Boeing,8,20,4,Friday
5919,DCA21WA207,INC,103730.0,2021-08-14T04:00:00Z,Guam,Pacific Ocean,United States,,B-16227,,False,Aviation,,,,,,,,,,,,,AIRBUS,321,AIR,,,false,,,,,NUSC,Minor,,EVA Air,Landing,,,Prelim,,,2021,,Airbus,8,14,4,Saturday
5940,ENG21WA035,INC,103691.0,2021-08-10T12:37:00Z,Budapest,,Hungary,,OY-RUZ,,False,Aviation,,,,,0.0,0.0,0.0,,,,47.466139,19.126992,AIRBUS,A320,AIR,LHBP,Budapest,false,,,SCHD,BUS,129,,,Longtail Aviation International Ltd.,Enroute,,,Prelim,,,2021,,Airbus,8,10,12,Tuesday
5964,DCA21WA214,INC,103868.0,2021-08-06T09:30:00Z,Edinburgh,,United Kingdom,,G-DBCF,,False,Aviation,,,,,,,,,,,55.950001,-3.3725,AIRBUS,A319,AIR,,,false,,,SCHD,,129,,,,Initial Climb,,,Prelim,,,2021,,Airbus,8,6,9,Friday
6000,DCA21WA205,INC,103687.0,2021-07-31T04:00:00Z,Perth,Other Foreign,Australia,,UNK,38708,False,Aviation,,,,,,,,,,,,,BOEING,737,AIR,,,false,,,SCHD,,NUSC,,,,Initial Climb,,,Prelim,,,2021,,Boeing,7,31,4,Saturday
6014,DCA21WA202,INC,103656.0,2021-07-29T05:00:00Z,Mexico City,,Mexico,,N36272,31590,False,Aviation,,,,,,,,,,,,,BOEING,737-824,AIR,,,false,2,,,,121,,,United Airlines,Approach,,,Prelim,,,2021,,Boeing,7,29,5,Thursday
6021,ERA21LA304,ACC,103572.0,2021-07-28T08:20:00Z,Lexington,Kentucky,United States,,N1720B,75-6017,False,Aviation,DirectorBrief,2023-06-28T04:00:00Z,2023-06-28T17:00:00Z,Minor,0.0,0.0,2.0,A loss of engine power for undetermined reasons.,"Aircraft - Aircraft power plant - (general) - (general) - Unknown/Not determined, Aircraft - Aircraft power plant - Power plant - (general) - Failure",,37.953781,-84.406687,BOEING,B75N1,AIR,,,false,1,REC,,PERS,091,Substantial,VMC,,Enroute,Completed,,Final,https://data.ntsb.gov/Docket?ProjectID=103572,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/103572/pdf,2021,,Boeing,7,28,8,Wednesday
6022,DCA21WA188,INC,103591.0,2021-07-28T04:00:00Z,Zhengzhou City,Other Foreign,China,,LX-GCL,,False,Aviation,,,,,0.0,0.0,0.0,,,,34.526334,113.860757,BOEING,747,AIR,,,false,,,NSCH,,NUSC,,,,Takeoff,,,Prelim,,,2021,,Boeing,7,28,4,Wednesday
6045,DCA21WA187,ACC,103590.0,2021-07-25T04:00:00Z,Nice,Other Foreign,Italy,,SE-RPE,,False,Aviation,,,,Serious,0.0,1.0,1.0,,,,,,BOEING,737,AIR,,,false,,,SCHD,,NUSC,,,Norwegian Air Shuttle Sweden AB,Approach,,,Prelim,,,2021,,Boeing,7,25,4,Sunday
6061,CEN21LA333,ACC,103529.0,2021-07-22T19:00:00Z,Baraboo,Wisconsin,United States,,N51CF,75-5604,False,Aviation,DirectorBrief,2021-09-20T04:00:00Z,2021-08-27T18:00:00Z,,0.0,0.0,0.0,The pilot’s failure to maintain clearance from the fence while on final approach.,"Personnel issues - Psychological - Attention/monitoring - Monitoring environment - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Altitude - Not attained/maintained, Environmental issues - Physical environment - Object/animal/substance - Wire - Awareness of condition",,43.524428,-89.777409,BOEING,E75,AIR,DLL,BARABOO-WISCONSIN DELLS RGNL,false,1,REC,,PERS,091,Substantial,VMC,,Approach,Completed,,Final,https://data.ntsb.gov/Docket?ProjectID=103529,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/103529/pdf,2021,,Boeing,7,22,19,Thursday
6064,DCA21LA184,ACC,103537.0,2021-07-22T08:54:00Z,Romulus,Michigan,United States,,N376DN,8858,False,Aviation,DirectorBrief,2022-07-19T04:00:00Z,2022-07-19T19:00:00Z,Serious,0.0,1.0,0.0,"While conducting the safety briefing, the forward flight attendant was thrown backwards into the flight deck door due to the sudden stopping of the airplane by the flight crew to prevent a collision with a bus. 
Contributing to this accident was the bus drivers difficultly in observing the airplane moving towards the roadway.","Personnel issues - Task performance - Use of equip/info - (general) - Other, Personnel issues - Action/decision - Action - (general) - Pilot, Personnel issues - Physical - (general) - (general) - Cabin crew",,42.212398,-83.353401,AIRBUS,A321-211,AIR,KDTW,Detroit Metropolitan Wayne County Airport,false,2,TF,SCHD,,121,,VMC,DELTA AIR LINES INC,Taxi,Completed,,Final,https://data.ntsb.gov/Docket?ProjectID=103537,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/103537/pdf,2021,,Airbus,7,22,8,Thursday
6075,ENG21WA033,INC,103539.0,2021-07-20T12:16:00Z,Hone Kong,,Hong Kong,,N624UP,63784,False,Aviation,,,,,,,,,,,22.310567,114.168694,BOEING,747-8F,AIR,VHHH,Hong Kong,false,4,,SCHD,BUS,121,Minor,,UNITED PARCEL SERVICE CO,Initial Climb,,,Prelim,,,2021,,Boeing,7,20,12,Tuesday
6118,ENG21WA032,INC,103525.0,2021-07-11T16:40:00Z,Copenhagen,Other Foreign,Denmark,,YL-AAQ,,False,Aviation,,,,,,,,,,,55.617901,12.656,AIRBUS,A220,AIR,EKCH,Copenhagen Kastrup Airport,false,,,SCHD,,129,,,Air Baltic,Landing,,,Prelim,,,2021,,Airbus,7,11,16,Sunday
6141,ENG21WA046,INC,104109.0,2021-07-07T16:35:00Z,Enroute,,Germany,,EI-STM,27094,False,Aviation,,,,,0.0,0.0,0.0,,,,,,BOEING,737,AIR,,,false,2,,SCHD,,NUSC,,,ASL Airlines,Enroute,,,Prelim,,,2021,,Boeing,7,7,16,Wednesday
6150,DCA21WA180,INC,103476.0,2021-07-06T15:00:00Z,Ballarat,Other Foreign,Australia,,VH-XMO,,False,Aviation,,,,,0.0,0.0,0.0,,,,,,BOEING,737,AIR,,,false,2,,,,NUSC,,,,Enroute,,,Prelim,,,2021,,Boeing,7,6,15,Tuesday
6159,DCA21LA176,ACC,103420.0,2021-07-04T20:41:00Z,Miami,Florida,United States,,N156AN,6983,False,Aviation,DirectorBrief,2022-01-06T05:00:00Z,2022-01-06T05:00:00Z,Serious,0.0,1.0,0.0,an inadvertent encounter with convective turbulence.,Environmental issues - Conditions/weather/phenomena - Turbulence - Convective turbulence - Effect on personnel,,25.7966,-80.27589999999998,AIRBUS,A321-231,AIR,,,false,2,TF,SCHD,,121,,Unknown,AMERICAN AIRLINES INC,Enroute,Completed,,Final,https://data.ntsb.gov/Docket?ProjectID=103420,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/103420/pdf,2021,,Airbus,7,4,20,Sunday
6165,GAA21WA168,ACC,103438.0,2021-07-04T11:00:00Z,Luneburg,,Germany,,N429AB,75-4484,False,Aviation,,,,,0.0,0.0,0.0,,,,53.2464,10.4115,BOEING,A75N1(PT17),AIR,,,false,1,,,PERS,UNK,Substantial,,PLANE FUN INC TR TRUSTEE,Enroute,,,Prelim,,,2021,,Boeing,7,4,11,Sunday
6168,DCA21WA206,INC,103698.0,2021-07-04T05:03:00Z,Mexico City,,Mexico,,F-GSQI,32725,False,Aviation,,,,,,,,,,,19.4363,-99.072098,BOEING,777,AIR,MEX,Licenciado Benito Juarez International Airport,false,,,,,129,,,"Artemis Aircraft, Air France",Landing,,,Prelim,,,2021,,Boeing,7,4,5,Sunday
6176,DCA21FA174,ACC,103407.0,2021-07-02T04:00:00Z,Honolulu,Hawaii,United States,,N810TA,21116,False,Aviation,DirectorBrief,2023-06-15T04:00:00Z,2022-12-19T22:00:00Z,Serious,0.0,1.0,1.0,"The flight crewmembers’ misidentification of the damaged engine (after leveling off the airplane and reducing thrust) and their use of only the damaged engine for thrust during the remainder of the flight, resulting in an unintentional descent and forced ditching in the Pacific Ocean. Contributing to the accident were the flight crew’s ineffective crew resource management, high workload, and stress.","Personnel issues - Task performance - Use of equip/info - Use of checklist - Flight crew, Personnel issues - Action/decision - Info processing/decision - Identification/recognition - Flight crew, Personnel issues - Task performance - Communication (personnel) - CRM/MRM techniques - Flight crew, Personnel issues - Task performance - Workload management - Task overload - Flight crew, Aircraft - Aircraft power plant - Engine (turbine/turboprop) - Turbine section - Damaged/degraded, Personnel issues - Action/decision - Action - Incorrect action performance - Flight crew",,21.1639,-158.01313,BOEING,737-275C,AIR,PHNL,HNL,false,2,TJ,NSCH,,121,Destroyed,VMC,RHOADES AVIATION INC,Initial Climb,Completed,,Final,https://data.ntsb.gov/Docket?ProjectID=103407,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/103407/pdf,2021,,Boeing,7,2,4,Friday
6200,DCA21WA173,INC,103404.0,2021-06-28T17:20:00Z,Caracas,,Venezuela,,YV-3158,,False,Aviation,,,,,,,,,,,10.603117,-66.990585,BOEING,737,AIR,,,false,,,,,129,,,,Initial Climb,,,Prelim,,,2021,,Boeing,6,28,17,Monday
6208,ENG21WA029,INC,103427.0,2021-06-27T16:12:00Z,Ciudad de México,,Mexico,,N875AM,,False,Aviation,,,,,,,,,,,19.436299,-99.133045,BOEING,737,AIR,,,false,,,,,NUSC,Unknown,,,Initial Climb,,,Prelim,,,2021,,Boeing,6,27,16,Sunday
6220,DCA21LA164,ACC,103350.0,2021-06-25T20:31:00Z,New Orleans,Louisiana,United States,,N926UW,6618,False,Aviation,DirectorBrief,2022-07-20T04:00:00Z,2022-07-20T19:00:00Z,Serious,0.0,1.0,8.0,An inadvertent encounter with severe turbulence during cruise flight that caused a flight attendant to fall and fracture his ankle.,Environmental issues - Conditions/weather/phenomena - Turbulence - Clear air turbulence - Effect on personnel,,27.598704,-89.94825199999998,AIRBUS,A321-231,AIR,MSY,,false,2,,SCHD,,121,,VMC,American Airlines,Enroute,Completed,,Final,https://data.ntsb.gov/Docket?ProjectID=103350,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/103350/pdf,2021,,Airbus,6,25,20,Friday
6246,DCA21WA165,INC,103364.0,2021-06-21T11:00:00Z,Sydney,,Australia,,VH-ZNH,,False,Aviation,,,,,,,,,,,-33.946098,151.177002,BOEING,787-9,AIR,,,false,,,SCHD,,129,,,Quantas,Initial Climb,,,Prelim,,,2021,,Boeing,6,21,11,Monday
6268,ENG21WA028,ACC,103415.0,2021-06-18T06:51:00Z,London,,United Kingdom,,G-ZBJB,38610,False,Aviation,,,,Minor,0.0,0.0,2.0,,,,,,BOEING,787,AIR,,London Heathrow,false,2,,SCHD,,129,Minor,,British Airways,Standing,,,Prelim,,,2021,,Boeing,6,18,6,Friday
6282,DCA21WA159,ACC,103335.0,2021-06-16T04:00:00Z,Derbyshire,,United Kingdom,,EC-MIE,26069,False,Aviation,,,,,0.0,0.0,0.0,,,,,,BOEING,737,AIR,,,false,,,,,NUSC,Unknown,,,Taxi,,,Prelim,,,2021,,Boeing,6,16,4,Wednesday
6299,CEN21LA264,ACC,103259.0,2021-06-13T13:30:00Z,Elwood,Nebraska,United States,,N777JG,75-3291,False,Aviation,DirectorBrief,2023-06-08T04:00:00Z,2023-06-08T17:00:00Z,,0.0,0.0,0.0,"The failure of the engine master rod, resulting in a total loss of engine power and a forced landing.",Aircraft - Aircraft power plant - Engine (reciprocating) - Recip engine power section - Failure,,40.70839,-99.83443,BOEING,B75N1,AIR,2NE0,Johnson Lake,false,1,REC,NSCH,PERS,091,Substantial,VMC,,Enroute,Completed,,Final,https://data.ntsb.gov/Docket?ProjectID=103259,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/103259/pdf,2021,,Boeing,6,13,13,Sunday
6306,DCA21WA154,INC,103330.0,2021-06-11T04:00:00Z,London,,United Kingdom,,G-YMMR,30302,False,Aviation,,,,,,,,,,,,,BOEING,777,AIR,,,false,,,,,NUSC,,,British Airways,Takeoff,,,Prelim,,,2021,,Boeing,6,11,4,Friday
6310,OPS21LA003,INC,103275.0,2021-06-10T17:45:00Z,San Diego,California,United States,,"N8674B, N197SY","36734, 17000709",False,Aviation,DirectorBrief,2023-09-07T04:00:00Z,2023-09-07T23:00:00Z,,0.0,0.0,0.0,The blocked go-around radio instruction from the air traffic control tower to the arrival aircraft which resulted in the arrival aircraft continuing the landing approach. This led to a loss of separation between the landing aircraft and the aircraft awaiting departure on the runway. Contributing to the loss of separation was the controller’s distraction communicating with a helicopter transitioning the airspace.,"Environmental issues - Operating environment - Communication system - VHF/HF radio - Timing of related info, Environmental issues - Operating environment - Communication system - VHF/HF radio - Ability to respond/compensate",,32.730364,-117.1764,"BOEING, EMBRAER S A","737-8H4, ERJ 170-200 LR","AIR, AIR",SAN,SAN DIEGO INTL,"false, false","2, 2","TF, TF","SCHD, SCHD",,"121, 121","None, None",VMC,"SOUTHWEST AIRLINES CO, SKYWEST AIRLINES INC",Approach,Completed,,Final,https://data.ntsb.gov/Docket?ProjectID=103275,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/103275/pdf,2021,,Boeing,6,10,17,Thursday
6318,DCA21WA152,ACC,103256.0,2021-06-07T09:30:00Z,Kolkata,,India,,VT-TGE,,False,Aviation,,,,Serious,0.0,2.0,1.0,,,,,,BOEING,737,AIR,,,false,,,,,129,,,Tata SIA Airlines,Enroute,,,Prelim,,,2021,,Boeing,6,7,9,Monday
6367,DCA21LA137,ACC,103164.0,2021-05-28T12:40:00Z,Dallas/Fort Worth International Airport,Texas,United States,,N834NN,29576,False,Aviation,DirectorBrief,2022-02-21T05:00:00Z,2022-01-06T05:00:00Z,,0.0,0.0,0.0,The captain’s decision to adjust his flight instruments while taxiing the airplane.,Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Pilot,,32.897011,-97.043173,BOEING,737-823,AIR,DFW,Dallas Fort Worth International Airport,false,2,TF,SCHD,,121,Substantial,VMC,AMERICAN AIRLINES INC,Taxi,Completed,,Final,https://data.ntsb.gov/Docket?ProjectID=103164,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/103164/pdf,2021,,Boeing,5,28,12,Friday
6368,DCA21WA142,INC,103204.0,2021-05-28T11:35:00Z,Barcelona,,Spain,,"PH-BXF, EC-MNG",,False,Aviation,,,,,,,,,,,,,"BOEING, TECNAM","737, P2006T","AIR, AIR",,,"false, false",,,"SCHD, NSCH",INST,"NUSC, NUSN","None, None",,"KLM, European Aviation School of Barcelona",Enroute,,,Prelim,,,2021,,Boeing,5,28,11,Friday
6374,DCA21WA143,ACC,103206.0,2021-05-28T08:08:00Z,Yesan,,Republic Of Korea,,HL7528,29129,False,Aviation,,,,Serious,0.0,1.0,0.0,,,,,,BOEING,767,AIR,,,false,,,SCHD,,NUSC,,,Asiana Airlines Co LTD,Initial Climb,,,Prelim,,,2021,,Boeing,5,28,8,Friday
6379,ENG21WA038,INC,103725.0,2021-05-27T13:24:00Z,Concepcion,,Chile,,CC-AWL,271N,False,Aviation,,,,,0.0,0.0,0.0,,,,364617.0,730345.0,AIRBUS,A320,AIR,,,false,,,,,121,Unknown,,JetSmart Airlines SpA,,,,Prelim,,,2021,,Airbus,5,27,13,Thursday
6381,ENG21WA027,INC,103198.0,2021-05-27T11:23:00Z,Beograd,,Serbia,,OO-JAO,,False,Aviation,,,,,,,,,,,44.822264,20.292242,BOEING,737,AIR,BEG,Nikola Tesla,false,,,SCHD,,129,Minor,,TUI Airlines Belgium n.v.,Enroute,,,Prelim,,,2021,,Boeing,5,27,11,Thursday
6385,WPR21LA208,ACC,103156.0,2021-05-26T14:30:00Z,Hollister,California,United States,,N75016,75-3418,False,Aviation,DirectorBrief,2022-12-07T05:00:00Z,2022-11-16T12:00:00Z,Minor,0.0,0.0,2.0,"The improper installation of a relief valve spring that was shorter than the standard spring length, which slowed the response of the propeller governor to change the pitch of the blades during climbout, resulting in a partial loss of power.",Aircraft - Aircraft propeller/rotor - Propeller system - Propeller governor - Incorrect service/maintenance,,36.955489,-121.46791,BOEING,A75N1(PT17),AIR,1C9,Frazier Lake Airpark,false,1,REC,,PERS,091,Substantial,VMC,ONE SLIM RABBIT LLC,Initial Climb,Completed,,Final,https://data.ntsb.gov/Docket?ProjectID=103156,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/103156/pdf,2021,,Boeing,5,26,14,Wednesday
6398,WPR21LA205,ACC,103148.0,2021-05-22T19:18:00Z,Ventura,California,United States,,N87WF,75-3347,False,Aviation,DirectorBrief,2021-09-20T04:00:00Z,2021-08-20T20:30:00Z,,0.0,0.0,0.0,"The partial loss of engine power, during cruise flight, due to the formation of carburetor ice, which resulted in a forced landing to an open field where the airplane nosed over.","Environmental issues - Conditions/weather/phenomena - Temp/humidity/pressure - Conducive to carburetor icing - Effect on equipment, Environmental issues - Physical environment - Object/animal/substance - Ground equipment - Contributed to outcome, Personnel issues - Action/decision - Action - Delayed action - Pilot",,34.283529,-119.31248,BOEING,A75N1(PT17),AIR,,,false,1,REC,,PERS,091,Substantial,VMC,,Enroute,Completed,,Final,https://data.ntsb.gov/Docket?ProjectID=103148,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/103148/pdf,2021,,Boeing,5,22,19,Saturday
6403,DCA21LA133,ACC,103134.0,2021-05-21T12:30:00Z,Chicago,Illinois,United States,,"N289CT, N8686A","36633, 36938",False,Aviation,DirectorBrief,2022-01-06T05:00:00Z,2022-01-06T05:00:00Z,,0.0,0.0,0.0,"the failure of the flight crew of N8686A to provide sufficient clearance while taxiing past N289CT, which was stopped.",Personnel issues - Action/decision - Action - Incorrect action performance - Pilot of other aircraft,,41.785,-87.75199999999998,"BOEING, BOEING","737-7H4, 737-8H4","AIR, AIR",KMDW,Midway,"false, false","2, 2","TF, TF","SCHD, SCHD",,"121, 121","Substantial, Minor",VMC,"SOUTHWEST AIRLINES CO, SOUTHWEST AIRLINES CO",Taxi,Completed,,Final,https://data.ntsb.gov/Docket?ProjectID=103134,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/103134/pdf,2021,,Boeing,5,21,12,Friday
6410,DCA21WA146,INC,103209.0,2021-05-20T11:45:00Z,Perth,,Australia,,VH-VXQ,,False,Aviation,,,,,,,,,,,,,BOEING,737,AIR,,,false,,,SCHD,,NUSC,Substantial,,Qantas,Standing,,,Prelim,,,2021,,Boeing,5,20,11,Thursday
6445,ENG21WA026,INC,103121.0,2021-05-13T09:20:00Z,Dubai,,United Arab Emirates,,G-JMCL,,False,Aviation,,,,,,,,,,,,,BOEING,737,AIR,,,false,2,,,,121,,,,Enroute,,,Prelim,,,2021,,Boeing,5,13,9,Thursday
6460,DCA21WA136,INC,103161.0,2021-05-11T04:00:00Z,Cayo Coco,,Cuba,,VQ-BJA,,False,Aviation,,,,,0.0,0.0,0.0,,,,22.461,-78.3284,BOEING,777,AIR,,,false,,,,,NUSC,Minor,,Nordwind,Initial Climb,,,Prelim,,,2021,,Boeing,5,11,4,Tuesday
6492,DCA21WA129,INC,103063.0,2021-05-04T13:25:00Z,Karachi,,Pakistan,,AP-BNE,,False,Aviation,,,,,,,,,,,,,AIRBUS,A330,AIR,KHI,Jinnah International Airport,false,,,SCHD,,129,,,,Enroute,,,Prelim,,,2021,,Airbus,5,4,13,Tuesday
6515,OPS21LA002,INC,103049.0,2021-04-29T15:07:00Z,St Petersburg-Clearwater,Florida,United States,,"N306NV, N370SD","2420, 69-7659",False,Aviation,DirectorBrief,2023-09-22T04:00:00Z,2023-09-22T17:00:00Z,,0.0,0.0,0.0,"The air traffic controller’s failure to properly scan the runway and local area, and their general loss of situational awareness, resulting in a near midair collision. Contributing to the incident was the Cessna 337 pilot's poor decision making when he failed to fly the standard downwind leg distance from the runway and to maintain the standard traffic pattern altitude.","Personnel issues - Action/decision - Action - Lack of action - ATC personnel, Personnel issues - Psychological - Attention/monitoring - Monitoring other aircraft - ATC personnel, Personnel issues - Task performance - Planning/preparation - (general) - ATC personnel",,27.902228,-82.686946,"AIRBUS, CESSNA","A319-112, M337B","AIR, AIR",PIE,ST PETE-CLEARWATER INTL,"false, false","2, 2","TF, REC",SCHD,PERS,"121, 091","None, None",VMC,Allegiant Air,Takeoff,Completed,,Final,https://data.ntsb.gov/Docket?ProjectID=103049,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/103049/pdf,2021,,Airbus,4,29,15,Thursday
6529,CEN21LA202,ACC,102987.0,2021-04-26T13:46:00Z,Denver,Colorado,United States,,N56760,75-017,False,Aviation,DirectorBrief,2021-07-16T04:00:00Z,2021-07-08T04:00:00Z,,0.0,0.0,0.0,The pilot’s failure to maintain directional control during the landing roll with variable and gusty wind conditions.,"Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Not attained/maintained, Environmental issues - Conditions/weather/phenomena - Wind - Variable wind - Contributed to outcome, Environmental issues - Conditions/weather/phenomena - Wind - Gusts - Effect on operation, Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot",,39.57011,-104.8492,BOEING,A75,AIR,A75,Centennial Airport,false,1,REC,,PERS,091,Substantial,VMC,,Landing,Completed,,Final,https://data.ntsb.gov/Docket?ProjectID=102987,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102987/pdf,2021,,Boeing,4,26,13,Monday
6539,DCA21WA139,INC,103174.0,2021-04-24T16:30:00Z,Rotterdam,,Netherlands,,PH-XRX,,False,Aviation,,,,,0.0,0.0,0.0,,,,51.956902,4.43722,BOEING,737,AIR,,Rotterdam The Hague Airport,false,,,,,129,,,,Initial Climb,,,Prelim,,,2021,,Boeing,4,24,16,Saturday
6594,DCA21WA123,INC,103013.0,2021-04-13T02:11:00Z,"Mexico City,",,Mexico,,FG-ZNC,,False,Aviation,,,,,,,,,,,19.4363,-99.072098,BOEING,777,AIR,MMMX,Licenciado Benito Juarez International Airport,false,,,,,121,,,Air France,Takeoff,,,Prelim,,,2021,,Boeing,4,13,2,Tuesday
6632,DCA21WA117,INC,102885.0,2021-04-02T11:30:00Z,Valletta,,Malta,,9H-QCJ,,False,Aviation,,,,,,,,,,,35.857498,14.4775,BOEING,737,AIR,LMML,Malta International Airport,false,,,,,129,Unknown,,Malta Air,Unknown,,,Prelim,,,2021,,Boeing,4,2,11,Friday
